term,mean,sd,hdi_3,hdi_97,std_mean,std_sd,std_hdi_3,std_hdi_97
fans:beta0,-2.9289667293281036,0.09187100010886395,-3.100916545937026,-2.756785069777419,,,,
fans:beta_age,-0.5836219400495215,0.050481377340117296,-0.6734390570426703,-0.48676094272370357,-0.8069948967724722,0.0714332698590577,-0.9383079743230838,-0.6731109485559895
fans:beta_week,0.21068668774958446,0.017837983528842277,0.17915041711914148,0.24676525667016297,0.2913048803028802,0.025040994886669145,0.2416805224006624,0.3364338697407515
fans:beta_ind[Actor/Actress],0.3565472055550377,0.09811401591879486,0.1769328972638986,0.5424262256175632,0.493064848609157,0.1361548409030709,0.24138392010043944,0.7477847384517448
fans:beta_ind[Athlete],0.11150346610431114,0.11659335904607009,-0.09899660346415462,0.3329086322976742,0.1541691567492016,0.16120682834680491,-0.13648853010004314,0.46231286444234065
fans:beta_ind[Comedian],-0.2903294025104173,0.2667758756129536,-0.7473877324976725,0.2667187671229759,-0.4017752738349726,0.369368344010468,-1.0668204743271077,0.3345774770138998
fans:beta_ind[Model],-0.28948832546203673,0.21687067596062573,-0.6788758494367572,0.12460514436787969,-0.400161279881395,0.29995298936352977,-0.9371049787283136,0.17495463966105418
fans:beta_ind[Other],-0.12552420709729348,0.16883047580942137,-0.4354457617254397,0.20119607829181452,-0.1734464905603688,0.2335257084037068,-0.601101520363263,0.2789132886151186
fans:beta_ind[Singer/Rapper],0.32494764125812603,0.12434284564392746,0.09312890746554468,0.5574680689576474,0.4492864369131657,0.1720001293217564,0.12940564928018672,0.7714589684931433
fans:beta_ind[Social Media Personality],0.1491545830308361,0.2870145112182175,-0.42639722036703137,0.6492915076381168,0.20628819350028954,0.39712482473437893,-0.5276408671877602,0.9663802428963422
fans:beta_ind[TV Personality],-0.23681096087856343,0.12063880927693421,-0.4620969227051736,-0.013007983793376532,-0.3274255914950775,0.16690457328278618,-0.6400634959653545,-0.018074771426029264
fans:industry_effect_sd,0.3077904223288577,0.06301428785867132,0.19510801922770554,0.42689610527164606,0.4256239594138834,0.08768259204629791,0.2638354250333416,0.5864593815950778
fans:industry_effect_range,0.9261026425165013,0.21878803748018055,0.5603532742138336,1.3471831931022358,1.280645403364917,0.30407860685567106,0.7623061963777072,1.8500595403705866
fans:sigma_eps,0.7234781526935066,0.014461781208371079,0.6953139185293108,0.7495199105913588,,,,
fans:sigma_pro,0.28982604507632326,0.08669614835072242,0.1394011903706172,0.4628119143696511,,,,
fans:sigma_season,0.17332075156404783,0.08063760913543525,0.007236971679885445,0.3114119735594453,,,,
fans:sigma_celeb,0.8716871029641274,0.0415649918099154,0.7926086397591,0.9472917325663398,,,,
