,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta0,-3.131238,0.099023,-3.325223,-2.956181,0.00172,0.001583,3301.734426,3086.410505,1.000052
beta_age,-0.622571,0.054757,-0.720363,-0.516351,0.001057,0.000875,2684.003145,2164.42132,1.000725
beta_week,0.199684,0.01968,0.162006,0.236792,0.000249,0.00031,6225.433886,3169.465451,0.999447
sigma_eps,0.742033,0.015156,0.714323,0.771261,0.000238,0.000231,4042.23179,2876.184819,1.000798
sigma_pro,0.303069,0.086281,0.141643,0.464397,0.00339,0.001881,643.609659,1053.473874,1.008386
sigma_season,0.176763,0.089196,0.005875,0.322667,0.004189,0.001916,443.684017,778.572714,1.004185
sigma_celeb,0.931427,0.044952,0.850346,1.017921,0.001351,0.000697,1110.181861,1964.359072,1.000036
beta_ind[0],0.365637,0.110281,0.171619,0.588061,0.002117,0.001681,2709.565698,2639.545477,0.999874
beta_ind[1],0.117236,0.121414,-0.108736,0.34373,0.002205,0.001947,3033.338729,2786.525271,1.00321
beta_ind[2],-0.229676,0.286758,-0.754478,0.298658,0.004714,0.004493,3701.990363,2682.037586,1.001054
beta_ind[3],-0.38344,0.236917,-0.799525,0.080409,0.003923,0.003114,3642.669131,3349.823707,1.000781
beta_ind[4],-0.101641,0.178906,-0.442376,0.235535,0.003378,0.00279,2799.746583,2582.440642,1.002088
beta_ind[5],0.315086,0.136418,0.068831,0.574979,0.002528,0.00209,2912.191411,2678.29774,1.000036
beta_ind[6],0.149811,0.305518,-0.452993,0.697685,0.005707,0.004676,2875.889951,2535.184127,1.000863
beta_ind[7],-0.233013,0.134626,-0.481876,0.013952,0.002366,0.001875,3250.394539,3133.947845,1.002109
