policy_id,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,w,delta
0,0.0427998670448911,0.0461329874631121,0.840939333719599,0.0091557854096931,0.8033823529411763,0.0699981183470957,0.0,0
3,0.1381873458772163,0.046833273199758,0.8284992132269575,0.0092808211644458,0.7211764705882353,0.0754023940651709,0.05,0
6,0.1857718813884213,0.0479562002762156,0.8210793015122715,0.0091495656616416,0.6792647058823529,0.0787103221270299,0.1,0
9,0.2279454439773927,0.0456690718932253,0.814375448095905,0.0089596129343145,0.6466176470588235,0.0841490249867337,0.15,0
12,0.2618379562891164,0.0453171713569805,0.8083890056022409,0.0086883070324273,0.6173529411764705,0.0829268252144239,0.2,0
15,0.2922791277325637,0.0429796626386634,0.8029689639744787,0.0083669581895843,0.5922058823529411,0.0823316924996224,0.25,0
18,0.3211360939008571,0.0413132248852159,0.7977553590880797,0.0084081424130934,0.5672058823529411,0.0806621704078367,0.3,0
21,0.3494247588940886,0.0411393609655492,0.7925569227691076,0.0084716294341232,0.5411764705882353,0.0822959137036653,0.35,0
24,0.3737959937639619,0.040471191039355,0.7876792637193766,0.0083838729237093,0.5205882352941177,0.0799379878241638,0.4,0
27,0.4001711136153039,0.0382105411664798,0.7822752243258415,0.0081484862504666,0.4964705882352941,0.0797507026633536,0.45,0
30,0.42664820123601,0.0370639118872387,0.7772113717014584,0.0081710909099047,0.4748529411764706,0.0783671619856779,0.5,0
33,0.4516298684283318,0.0342191189786302,0.7721767415299453,0.0078294988009711,0.4511764705882353,0.0786463700185906,0.55,0
36,0.4769421211229819,0.0345280886462121,0.7665098344893514,0.0077482977153686,0.4273529411764706,0.0775593831357584,0.6,0
39,0.505147266897524,0.0339565841253908,0.7604979592531457,0.0073717608670108,0.4022058823529411,0.0788394491580497,0.65,0
42,0.5313228272778693,0.0322245414399705,0.7540850468659687,0.0070684893514384,0.3776470588235294,0.0743854982096606,0.7,0
45,0.5596491150620916,0.0311401367840619,0.7475305799403096,0.0067148016392642,0.3497058823529411,0.0712422895779737,0.75,0
46,0.6012515921589395,0.0306531272701016,0.7331161659108087,0.0056889200085506,0.3210294117647059,0.0691358049368409,0.75,1
47,0.6335333558757952,0.0277995369198473,0.7261452608821307,0.0046936879200584,0.3038235294117647,0.0686520091751965,0.75,2
48,0.5904949359821082,0.0295130968593424,0.7398339391312081,0.0063124736024966,0.3195588235294118,0.068561244333684,0.8,0
49,0.6264735126955014,0.0280108487488818,0.7286450920646037,0.0052984131424508,0.2907352941176471,0.0687827971661461,0.8,1
51,0.6264121139731498,0.028475624213075,0.7315357955682273,0.0053833077362838,0.2810294117647058,0.0666985189045304,0.85,0
52,0.6569674157073915,0.0259880129977124,0.7237530039793696,0.0046812470486167,0.26,0.0652317864574027,0.85,1
53,0.6803561448921773,0.023171651308159,0.7197775964552489,0.0038043328748099,0.2510294117647059,0.0613468190941303,0.85,2
54,0.6680912155850591,0.0262334775877537,0.7233009148103686,0.0047981325794371,0.2385294117647058,0.0618346942400842,0.9,0
55,0.6914414640598061,0.022935500738277,0.7183196327141969,0.0040146248683043,0.2263235294117647,0.0591329065003877,0.9,1
56,0.709224878253902,0.0206512613843197,0.7161105845115824,0.0035151604388447,0.2177941176470588,0.0561851017817102,0.9,2
57,0.7167291526725303,0.0213427181311629,0.7144033988595438,0.0033809419134113,0.1888235294117647,0.0516931760648358,0.95,0
58,0.730785796746497,0.017910355545221,0.7125977849473124,0.0028107827923489,0.1863235294117647,0.0472024762041407,0.95,1
59,0.7390391504645435,0.0167392028396603,0.7117700100873684,0.0025972724174792,0.1811764705882353,0.0452428200327368,0.95,2
60,0.7753279271518775,0.0,0.7066535642034593,0.0,0.1470588235294117,0.0,1.0,0
61,0.7753279271518775,0.0,0.7066535642034593,0.0,0.1470588235294117,0.0,1.0,1
62,0.7753279271518775,0.0,0.7066535642034593,0.0,0.1470588235294117,0.0,1.0,2
